代码,名称,实施日期,实施前简称,实施后简称,实施ST原因,证监会行业,Wind行业,证券类型
000732,ST三农,2010/7/23,,,其他特别处理,,,
000818,*ST锦化,2010/7/24,,,重整程序,,,
002002,ST琼花,2010/7/25,,,其他特别处理,,,
600131,*ST岷电,2010/7/26,,,两年（汶川地震）,,,
600699,*ST得亨,2010/7/27,,,重整程序,,,
000677.SZ,恒天海龙,2011/9/5,山东海龙,ST海龙,其他状况异常的情形,,,
600539.SH,ST狮头,2011/6/30,狮头股份,ST狮头,因重大变故导致经营活动三个月内不能恢复正常,,,
600671.SH,天目药业,2011/5/4,天目药业,*ST天目,最近两年净利润均为负,,,
600766.SH,园城黄金,2011/5/4,园城股份,ST园城,最近一年股东权益为负,,,
002200.SZ,绿大地,2011/5/4,绿大地,*ST大地,最近一年被出具无法表示意见或否定意见,,,
000545.SZ,金浦钛业,2011/4/28,吉林制药,*ST吉药,最近两年净利润均为负,,,
600281.SH,太化股份,2011/4/27,太化股份,*ST太化,最近两年净利润均为负,,,
600074.SH,*ST中达,2011/4/26,中达股份,*ST中达,最近两年净利润均为负,,,
600228.SH,昌九生化,2011/4/26,昌九生化,*ST昌九,最近两年净利润均为负,,,
000737.SZ,南风化工,2011/4/25,南风化工,*ST南风,最近两年净利润均为负,,,
000595.SZ,西北轴承,2011/4/20,西北轴承,*ST西轴,最近两年净利润均为负,,,
000607.SZ,华智控股,2011/4/19,华智控股,*ST华控,最近两年净利润均为负,,,
600335.SH,国机汽车,2011/2/23,鼎盛天工,*ST盛工,最近两年净利润均为负,,,
600365.SH,通葡股份,2011/2/16,通葡股份,*ST通葡,最近两年净利润均为负,,,
600203.SH,福日电子,2011/1/27,福日电子,*ST福日,最近两年净利润均为负,,,
600265.SH,*ST景谷,2012/9/27,景谷林业,ST景谷,因重大变故导致经营活动三个月内不能恢复正常,,,
600250.SH,南纺股份,2012/5/3,南纺股份,*ST南纺,对以前年度财务会计报告进行追溯调整导致最近两年连续亏损,,,
600359.SH,新农开发,2012/5/3,新农开发,*ST新农,最近两年净利润均为负,,,
600877.SH,中国嘉陵,2012/5/2,中国嘉陵,*ST嘉陵,最近两年净利润均为负,,,
000972.SZ,新中基,2012/5/2,新中基,*ST中基,最近两年净利润均为负,,,
600392.SH,盛和资源,2012/5/2,太工天成,*ST天成,最近两年净利润均为负,,,
002019.SZ,鑫富药业,2012/4/27,鑫富药业,*ST鑫富,最近两年净利润均为负,,,
000767.SZ,漳泽电力,2012/4/27,漳泽电力,*ST漳电,最近两年净利润均为负,,,
000155.SZ,川化股份,2012/4/27,川化股份,*ST川化,最近两年净利润均为负,,,
000806.SZ,银河投资,2012/4/26,银河科技,*ST银河,最近两年净利润均为负,,,
000751.SZ,*ST锌业,2012/4/26,锌业股份,*ST锌业,最近两年净利润均为负,,,
002102.SZ,冠福家用,2012/4/26,冠福家用,*ST冠福,最近两年净利润均为负,,,
000815.SZ,美利纸业,2012/4/24,美利纸业,*ST美利,最近两年净利润均为负,,,
000056.SZ,*ST国商,2012/4/23,深国商,*ST国商,最近两年净利润均为负,,,
000662.SZ,索芙特,2012/4/23,索芙特,*ST索芙,最近两年净利润均为负,,,
600087.SH,*ST长油,2012/4/13,长航油运,*ST长油,对以前年度财务会计报告进行追溯调整导致最近两年连续亏损,,,
000899.SZ,赣能股份,2012/4/12,赣能股份,*ST赣能,最近两年净利润均为负,,,
000585.SZ,东北电气,2012/4/5,东北电气,*ST东电,最近两年净利润均为负,,,
000838.SZ,国兴地产,2012/4/5,国兴地产,*ST国兴,最近两年净利润均为负,,,
600532.SH,宏达矿业,2012/3/30,华阳科技,*ST华科,最近两年净利润均为负,,,
002114.SZ,罗平锌电,2012/3/23,罗平锌电,*ST锌电,最近两年净利润均为负,,,
000669.SZ,金鸿能源,2012/3/20,领先科技,*ST领先,最近两年净利润均为负,,,
600882.SH,华联矿业,2012/3/20,大成股份,*ST大成,最近两年净利润均为负,,,
600733.SH,S前锋,2012/3/16,S前锋,S*ST前锋,最近两年净利润均为负,,,
000420.SZ,吉林化纤,2012/2/28,吉林化纤,*ST吉纤,最近两年净利润均为负,,,
600894.SH,广日股份,2012/2/14,广钢股份,*ST广钢,最近两年净利润均为负,,,
600301.SH,*ST南化,2013/5/3,南化股份,*ST南化,最近两年净利润均为负,,,
600358.SH,*ST联合,2013/5/3,国旅联合,*ST联合,最近两年净利润均为负,,,
600555.SH,*ST九龙,2013/5/3,九龙山,*ST九龙,最近一年被出具无法表示意见或否定意见,,,
600319.SH,*ST亚星,2013/5/2,亚星化学,*ST亚星,最近两年净利润均为负,,,
000594.SZ,*ST国恒,2013/5/2,国恒铁路,*ST国恒,最近两年净利润均为负,,,
600444.SH,国通管业,2013/5/2,国通管业,*ST国通,最近两年净利润均为负,,,
600074.SH,*ST中达,2013/4/26,中达股份,*ST中达,最近两年净利润均为负,,,
000520.SZ,*ST凤凰,2013/4/25,长航凤凰,*ST凤凰,最近两年净利润均为负,,,
601268.SH,*ST二重,2013/4/24,二重重装,*ST二重,最近两年净利润均为负,,,
002047.SZ,宝鹰股份,2013/4/15,成霖股份,*ST成霖,最近两年净利润均为负,,,
600980.SH,*ST北磁,2013/4/3,北矿磁材,*ST北磁,最近两年净利润均为负,,,
600760.SH,中航黑豹,2013/4/2,中航黑豹,*ST黑豹,最近两年净利润均为负,,,
600538.SH,北海国发,2013/4/1,北海国发,*ST国发,最近两年净利润均为负,,,
600707.SH,彩虹股份,2013/4/1,彩虹股份,*ST彩虹,最近两年净利润均为负,,,
000617.SZ,*ST济柴,2013/4/1,石油济柴,*ST济柴,最近两年净利润均为负,,,
000898.SZ,*ST鞍钢,2013/3/29,鞍钢股份,*ST鞍钢,最近两年净利润均为负,,,
601919.SH,*ST远洋,2013/3/29,中国远洋,*ST远洋,最近两年净利润均为负,,,
002265.SZ,*ST西仪,2013/3/27,西仪股份,*ST西仪,最近两年净利润均为负,,,
600961.SH,株冶集团,2013/3/15,株冶集团,*ST株冶,最近两年净利润均为负,,,
600381.SH,*ST贤成,2013/3/6,贤成矿业,ST贤成,因重大变故导致经营活动三个月内不能恢复正常,,,
002162.SZ,斯米克,2013/2/8,斯米克,*ST上控,最近两年净利润均为负,,,
000717.SZ,韶钢松山,2013/2/5,韶钢松山,*ST韶钢,最近两年净利润均为负,,,
002506.SZ,*ST超日,2013/2/1,超日太阳,ST超日,最近两年净利润均为负,,,
000902.SZ,*ST中服,2014/3/27,中国服装,*ST中服,最近两年净利润均为负,,,
000755.SZ,山西三维,2014/3/26,山西三维,*ST三维,最近两年净利润均为负,,,
000928.SZ,*ST吉炭,2014/3/24,中钢吉炭,*ST吉炭,最近两年净利润均为负,,,
002015.SZ,ST霞客,2014/3/21,霞客环保,ST霞客,其他被暂停上市的情形,,,
002459.SZ,*ST天业,2014/3/17,天业通联,*ST天业,最近两年净利润均为负,,,
600550.SH,*ST天威,2014/3/12,天威保变,*ST天威,最近两年净利润均为负,,,
002127.SZ,*ST新民,2014/3/11,新民科技,*ST新民,最近两年净利润均为负,,,
002160.SZ,*ST常铝,2014/3/11,常铝股份,*ST常铝,最近两年净利润均为负,,,
000822.SZ,*ST海化,2014/2/18,山东海化,*ST海化,最近两年净利润均为负,,,
